TraitName,Timepoint,Domain,Group,Trait,BW.Var,Age.Var,coef,p_add,q_add,p_int,q_int,coef_AL,p_AL,q_AL,coef_1D,p_1D,q_1D,coef_2D,p_2D,q_2D,coef_20,p_20,q_20,coef_40,p_40,q_40,N_AL,N_1D,N_2D,N_20,N_40
Y3B_BW_Delta,Y3B,BW,BW,Delta,NA,Y3B_BW_AgeInDays,0.04754627499909136,0.0728375580236883,0.19715429239494575,0.6248640229907618,0.9853220318120754,0.0370120237115825,0.3650603133374031,0.7055208751022048,0.0716028735597957,0.056462476226001965,0.33637727454793637,0.14261577282223287,0.022991229395226753,0.1514572707967037,0.01305790262773789,0.8220698813502149,0.935774300551278,0.011901595562135645,0.8816531469989481,0.9744585976097913,60,84,82,99,112
Y3C_BW_Delta,Y3C,BW,BW,Delta,NA,Y3C_BW_AgeInDays,0.059863368939178846,0.03206948588722081,0.10840389595680275,0.7039664521634176,0.9910284616491165,0.04537401568003433,0.3347725668318191,0.6798131843254875,0.0050221127159290205,0.8905378657771721,0.9925311324188524,0.03375569288970931,0.5049228070289533,0.7872809556964601,0.09985333070817798,0.09873072294034804,0.4187815996974121,0.1095597788073211,0.1725177794874682,0.5768600341484974,39,54,64,70,102
Y3D_BW_Delta,Y3D,BW,BW,Delta,NA,Y3D_BW_AgeInDays,0.05116051968562401,0.09734936694210382,0.24422140835649736,0.0042103837491217835,0.16818143975658678,0.056062822617641304,0.5099605149462806,0.8123922595829215,0.018230164599851474,0.5959339327565498,0.8994784328150083,-0.12946911939775368,0.004746475375625566,0.0648989229244188,0.023482514588153126,0.6313753745741624,0.8578079092886153,0.22258367837029214,0.004347656258239648,0.0909171646943644,14,28,37,50,78
Y2A_BW_Delta6,Y2A,BW,BW,Delta6,NA,Y2A_BW_AgeInDays,0.2236310404842486,1.062342630550526e-7,2.185390554275368e-6,0.023706081152117742,0.41495327979961055,0.028657542521008165,0.6628389646495705,0.8950198449223015,0.21561126726274515,0.011653646114026665,0.14285762736332688,0.26956508486857467,0.0035690666428206514,0.05694547568894797,0.29151320799832386,0.004148993452365012,0.062330185005826363,0.4461283391776563,7.22788570365993e-4,0.03211891709563881,175,167,175,176,169
Y2B_BW_Delta6,Y2B,BW,BW,Delta6,NA,Y2B_BW_AgeInDays,0.26644245855600734,1.3683959376426517e-12,9.852450751027093e-11,0.3271274831513325,0.9046784436457699,0.15178247910854956,0.009806078150769712,0.1398203390005905,0.25663437228192393,6.141600146504878e-4,0.018194490434020702,0.357364338599017,7.417699469439723e-6,0.0010547968645543285,0.27752036694412113,0.0016440871970020757,0.03923888110178288,0.3551654901415488,0.00510350423088696,0.0976953498703502,161,160,166,165,164
Y2C_BW_Delta6,Y2C,BW,BW,Delta6,NA,Y2C_BW_AgeInDays,0.2467812007480855,5.624728679266204e-13,5.0622558113395837e-11,0.36234702934367546,0.9128303507029336,0.17056377030160372,4.2376252318399645e-4,0.01446846329156788,0.21100043278958305,0.002265201501784125,0.0460159505076718,0.35706380005497396,2.0352778258802952e-6,3.6177063355022246e-4,0.2468252185886574,0.001564828502662555,0.03923888110178288,0.31654824767272505,0.008840313187705158,0.13664049296648625,143,146,152,148,161
Y2D_BW_Delta6,Y2D,BW,BW,Delta6,NA,Y2D_BW_AgeInDays,0.24090878982201228,7.305988230663782e-13,5.844790584531025e-11,0.3135268930915195,0.90170334453121,0.1921963959204958,1.3767583357129364e-4,0.006580904844707836,0.15728606231825662,0.007908445672179283,0.1124580974583894,0.32117563727526505,9.213168846333075e-7,2.183521016580939e-4,0.21334403675236216,0.004550887221440005,0.06649867858267436,0.35029927387365084,0.0028606897475232005,0.06779834701629985,114,131,134,138,154
Y1_AS_MeanLog,Y1,AS,Health,MeanLog,Y1_AS_BWTest,Y1_AS_AgeInDays,-0.014308276421571777,0.6472250120147414,0.8097110714180435,0.8285333563043025,0.992485414532811,-0.06702840550737219,0.28504390478369634,0.6303884277686943,0.01009532671437348,0.8634412365346862,0.9925311324188524,-0.028599579615723823,0.6432559836381904,0.8761590121968454,0.04652433377165374,0.5614851049163483,0.8214660503814697,-0.036345960568854564,0.6683851079235787,0.9205818561697598,153,158,164,153,157
Y1_AS_SlopeLog,Y1,AS,Health,SlopeLog,Y1_AS_BWTest,Y1_AS_AgeInDays,0.03599483680702007,0.24926870937244552,0.44868367687040195,0.3741097916502048,0.9128303507029336,-0.03491534863253124,0.5718849414736191,0.8334176890987498,0.04623306068770383,0.4259902385920973,0.8013337712921095,-0.006157530412350622,0.9224153616273745,0.9701735534276084,0.046220358145757964,0.5905527285007236,0.8389598285843614,0.11331842883814944,0.16148938444177063,0.57330195679253,153,158,164,153,157
Y1_CBC_CH,Y1,CBC,Hematology,CH,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.02960601325348106,0.2962307375700366,0.5030333279491188,0.33400501228113594,0.9046784436457699,-0.09773545339677707,0.07293872163986627,0.3709011589771923,-0.06357861094701613,0.21946267958190052,0.5844118546169711,0.04291006014145054,0.4856478393076318,0.7742054119904175,-0.060607185751711964,0.3762164631437298,0.7044015562506604,0.03498165589439532,0.6425928977193438,0.9205818561697598,182,172,179,183,176
Y1_CBC_CHCM,Y1,CBC,Hematology,CHCM,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.05208454321627651,0.07067369099693009,0.1934793061512915,0.037319526907704875,0.5261321538556825,0.005370243624683963,0.9084912380642824,0.979189940229395,-0.04778778926003245,0.4500747060398147,0.822092758784652,0.027254027608866433,0.647802154310877,0.878983457471438,0.01123250618430746,0.8770721025389578,0.9572921119175212,0.21945906903299112,0.0061724483054973285,0.10703928646850244,182,172,179,183,176
Y1_CBC_CHm,Y1,CBC,Hematology,CHm,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.04670525730123767,0.18238961405938414,0.37953908127964325,0.535010140562231,0.96540103830486,-0.1588288205947932,0.01676559078549981,0.1693088534253995,-0.0035085472873824866,0.9547353717196043,0.9925311324188524,-0.00781316939424756,0.9187285206293669,0.9701735534276084,-0.06972883455907099,0.4006468173621134,0.7194985582999125,-0.012127164147312975,0.9015697129949805,0.9756713332411433,120,116,118,123,118
Y1_CBC_CHr,Y1,CBC,Hematology,CHr,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.05208003962443815,0.06909538299141213,0.18988044180846084,0.37069228663156895,0.9128303507029336,-0.10516338931829373,0.054776954649388566,0.33603206257688295,-0.005452944334192143,0.9173641217022148,0.9925311324188524,0.02380336948145688,0.6973767742305672,0.9031600846592592,-0.03131087225133794,0.680762838273079,0.8778179724247389,-0.09677171999528868,0.17584751735169651,0.5842410506404496,182,172,179,183,176
Y1_CBC_Hct,Y1,CBC,Hematology,Hct,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.15194933145952133,3.5748969564204585e-7,6.773488970059816e-6,0.20833481509470186,0.8510950684834695,0.1744924787957786,0.0021400404090088114,0.06137635893037271,0.14090230932366246,0.024664334762060983,0.21128122910632963,0.11634180046459712,0.06930617304708304,0.2799811877072503,0.030151023067617303,0.666065321555861,0.8778179724247389,0.26071681200001456,5.060694175268793e-4,0.03211891709563881,182,172,179,183,176
Y1_CBC_HDWcv,Y1,CBC,Hematology,HDWcv,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.20896365920178897,3.331676471543026e-13,4.831804277822671e-11,0.5067547593249018,0.9590175212109401,-0.15573806381307323,0.0011369850260368403,0.03705537562129157,-0.28806082134886213,8.789402054007823e-7,1.9793546576391718e-4,-0.18910504194948025,0.001767848854759833,0.039467393902034076,-0.21209736568194087,0.002271955837921039,0.04671401813970607,-0.22788412124984989,0.006543563860241815,0.11077318820552215,182,172,179,183,176
Y1_CBC_Hgb,Y1,CBC,Hematology,Hgb,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.1627877438577547,5.18714010343958e-8,1.0984531983754404e-6,0.007014119228012453,0.265429038154787,0.14846973606398084,0.013332101074315664,0.15785891417849818,0.11034954987601368,0.06090566631053451,0.3436819741808733,0.116690081475753,0.08968543253751965,0.31724548524465906,0.01949852563362775,0.7734537322576209,0.9199217147781671,0.34937879805561206,2.2311728733016827e-6,0.0015863639129174965,182,172,179,183,176
Y1_CBC_MCV,Y1,CBC,Hematology,MCV,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.06454269938389857,0.02315718517504445,0.08336586663016003,0.3188849097631433,0.9046784436457699,-0.11391525875631517,0.03630095500640966,0.2577008390058983,-0.049095887566787885,0.33179756368416535,0.7236443796915386,0.05047830056664822,0.40138706708174177,0.706401496770095,-0.0812425847619293,0.24596186340000503,0.5917008875206331,-0.09818850150349875,0.21286170754303227,0.6152222522890078,182,172,179,183,176
Y1_CBC_MPM,Y1,CBC,Hematology,MPM,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.094406710044614775,0.0011366558576761127,0.0072424090046619575,0.39447266773892087,0.9196631126789151,-0.10718176879089417,0.04483312350916738,0.28476514119624186,-0.14802416859465017,0.010539108206061031,0.1371717336485616,-0.0975720945882197,0.13148677455714602,0.40283784888400687,-0.12335627126746153,0.057632026721041736,0.3248760645404257,-0.011939499125399848,0.8783380327132243,0.9744585976097913,182,172,179,183,176
Y1_CBC_MPV,Y1,CBC,Hematology,MPV,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.0986165736101934,0.004353991413048864,0.022553049046008505,0.7567101883802017,0.9910284616491165,-0.16065482664974476,0.004604041745262384,0.0868709981935034,-0.08075021567731744,0.22902703537477279,0.6031045264869017,-0.051511382097005315,0.5255299230021224,0.8024956837608416,-0.033665071777071544,0.6910480794384539,0.8835543301391661,-0.11929069749898326,0.2128395967818401,0.6152222522890078,182,172,179,183,176
Y1_CBC_NLR,Y1,CBC,Hematology,NLR,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.12212288624865032,2.7997095447290875e-5,2.687721162939924e-4,0.8168134443843321,0.992485414532811,-0.106362647339608,0.07937232347634653,0.381828318843031,-0.14371422124089422,0.008661104725852865,0.11921328376226294,-0.15253654982700818,0.008780860193678117,0.10069663867266355,-0.13748595141747297,0.05160776003088783,0.30538145605054284,-0.04260663291705609,0.5896949222669088,0.9049619227911669,182,172,179,183,176
Y1_CBC_NumEos,Y1,CBC,Hematology,NumEos,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.034279872741262866,0.22744365016494067,0.43266405927432244,0.3645230045122068,0.9128303507029336,0.03654174517064944,0.4876133339841794,0.8037212884290956,0.022853116305942566,0.6853065223220447,0.9329731283734716,-0.029800440268719978,0.6140674230947041,0.8536622384189476,0.15136878022153138,0.030428844354204846,0.2394181599737436,6.793288143774837e-4,0.9926851480099044,0.9947920468429186,182,172,179,183,176
Y1_CBC_NumLymph,Y1,CBC,Hematology,NumLymph,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.07068896392786417,0.014052092488359223,0.05620836995343689,0.11429129918808158,0.7208372290897426,0.02084032661206749,0.7013969887187999,0.9067604205261349,0.053866023943406956,0.36277861862278704,0.7519988275242028,0.04776312175679146,0.4200700421360879,0.7250183256169476,0.22249282742444046,0.0017266895931065329,0.03988095963433153,0.021133744298048582,0.7727780801320332,0.952661299042952,182,172,179,183,176
Y1_CBC_NumMono,Y1,CBC,Hematology,NumMono,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.06682921475118304,0.018353035178910238,0.06957394389845539,0.1109438352274571,0.7156719696844817,-0.033639910269352195,0.5114663248104472,0.8123922595829215,-0.10962573309959045,0.06960087872924911,0.3549108000033268,-0.1309838219884544,0.020420992578569712,0.14519325723363066,0.07879502400541526,0.27739230903999856,0.6206652914769968,-0.08769154062979373,0.23604502530318902,0.6504961743820442,182,172,179,183,176
Y1_CBC_NumNeut,Y1,CBC,Hematology,NumNeut,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.061423604775899615,0.02908557567906619,0.10116721975327371,0.33310707328222355,0.9046784436457699,-0.02986842159576322,0.5630954087536912,0.8282246469985756,-0.11118077152403696,0.037363710786429576,0.27672498301199405,-0.11975268599050234,0.041323380414941054,0.2160362020222286,0.058965855210702744,0.420415263268091,0.7253429602408509,-0.0525957116588801,0.4919561496375673,0.828663943796798,182,172,179,183,176
Y1_CBC_NumPlt,Y1,CBC,Hematology,NumPlt,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.015664569882676515,0.588520491240933,0.7832435373261954,0.8236497325478178,0.992485414532811,0.035847101174287355,0.5242791117725302,0.8123922595829215,0.018432821778050147,0.7293042106817462,0.9567071841231026,0.036239533918898906,0.5532765664360174,0.8171909585686851,0.04516567576380529,0.5209098141155692,0.7918713947064705,-0.021897531466060684,0.7867639603155907,0.9528611321236722,182,172,179,183,176
Y1_CBC_NumRBC,Y1,CBC,Hematology,NumRBC,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.1718736684838709,9.5786773467869e-9,2.0898932392989598e-7,0.06488472542437652,0.6298461831370841,0.23489969776975286,8.529706760374947e-5,0.005733660587488564,0.10632678603240465,0.0625108934441109,0.34529221202401306,0.06113568879016094,0.33663107617177723,0.661173191044568,0.10639910502838978,0.12831772822755177,0.44647105228999867,0.30703306438249134,1.1103042695136798e-4,0.00986782919530283,182,172,179,183,176
Y1_CBC_NumRetic,Y1,CBC,Hematology,NumRetic,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.08930927791069078,0.0018881613700232121,0.010875809491333701,0.4230812072718989,0.9302611254694048,-0.026853381261092355,0.6102183334323227,0.8663891981603472,-0.1809320521642272,0.0013332165561243366,0.03268679211739322,-0.13119194611308355,0.04189890634120825,0.2174461489678764,-0.055736317204587035,0.41256441728067206,0.7246568479080788,-0.050524050511687936,0.5051081141142302,0.839093152185088,182,172,179,183,176
Y1_CBC_NumWBC,Y1,CBC,Hematology,NumWBC,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.04322692229427272,0.13051828136155355,0.3011960339112774,0.13640324451620028,0.7371183765004591,0.012925263819648264,0.808519954698599,0.9472366135929666,0.021433465776027078,0.7256021257857261,0.9567071841231026,0.010815022012733655,0.8537053795766675,0.9558138113587307,0.1991133412820154,0.004966203923758314,0.06972160802766575,0.0016002968802840255,0.9822684674173647,0.9939039639491546,182,172,179,183,176
Y1_CBC_PDWcv,Y1,CBC,Hematology,PDWcv,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.07214060402059029,0.01703054003099411,0.06592467108771914,0.6017309540848935,0.9853220318120754,-0.10855604934631778,0.02069891187142962,0.18676118460635846,-0.007738052764779293,0.8962688123232527,0.9925311324188524,-0.08395370758778012,0.24255188555334983,0.5599168526897135,-0.001686463496048614,0.9829084315766535,0.9988489047949796,-0.13317945364297534,0.11165614289199519,0.5080177858268755,182,172,179,183,176
Y1_CBC_PercEos,Y1,CBC,Hematology,PercEos,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.001480830915525405,0.9579486236396384,0.9783305092489923,0.9648761206635181,0.9944097161284644,0.01517738583275631,0.7697465181791703,0.9268956739960169,0.010810669702062235,0.8459048728326537,0.9925311324188524,-0.03968158859885569,0.45853315921654303,0.7494645429953152,0.026612116340576985,0.7090021045499288,0.8940897084918151,-0.004347464422999542,0.9560786528303339,0.990921169332897,182,172,179,183,176
Y1_CBC_PercLymph,Y1,CBC,Hematology,PercLymph,Y1_CBC_BWTest,Y1_CBC_AgeInDays,0.1290364951053969,8.598609129787618e-6,9.826981862614421e-5,0.9733006524899179,0.9944097161284644,0.09985205306204228,0.08884371415638265,0.39080154718732013,0.13007422034854377,0.01846255230794785,0.1845568076194736,0.15834933498081616,0.006035929486959057,0.07663023250839553,0.12040260100682178,0.08477322933004662,0.40465088133542254,0.0991176793708882,0.2187097613888536,0.6231569965861775,182,172,179,183,176
Y1_CBC_PercMono,Y1,CBC,Hematology,PercMono,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.13881124976827913,1.5671329551776558e-6,2.5074127282842494e-5,0.8197440431088135,0.992485414532811,-0.09112803165896112,0.09896350999022636,0.4073085162627328,-0.1256117647505042,0.02025536379210637,0.1901459234876928,-0.1531249417859536,0.004290259931206027,0.0610074962217497,-0.09875466793567467,0.19520447955326425,0.5417302610858031,-0.17418032931173605,0.04162232114499899,0.32000606830024336,182,172,179,183,176
Y1_CBC_PercNeut,Y1,CBC,Hematology,PercNeut,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.11883638974277083,4.500286659008693e-5,4.050257993107824e-4,0.7672460789543132,0.9924766770581845,-0.10502822077417619,0.08351170549889941,0.3840013758044196,-0.1464351906983201,0.007549366035973459,0.11182498440785686,-0.13949166534711918,0.0164110554414146,0.12834897837897724,-0.14473056515799493,0.040422345295974486,0.26552659845796084,-0.034839386250493265,0.6569644115002584,0.9205818561697598,182,172,179,183,176
Y1_CBC_PercRetic,Y1,CBC,Hematology,PercRetic,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.12433014297525793,1.9495643861780033e-5,1.9770230395044542e-4,0.5707458586199389,0.9853220318120754,-0.06801958041852292,0.1959885353910626,0.5631360253835259,-0.20201655232235335,4.209840400110221e-4,0.013605438747628942,-0.12958987322175688,0.051740302680825204,0.24109597544764347,-0.09425077613585527,0.1773760966117871,0.5183725925471002,-0.10979120859671085,0.14806256689002317,0.5586617472820697,182,172,179,183,176
Y1_CBC_RDWcv,Y1,CBC,Hematology,RDWcv,Y1_CBC_BWTest,Y1_CBC_AgeInDays,-0.2389260754005615,4.762073401766977e-13,5.0622558113395837e-11,0.3952376937660428,0.9196631126789151,-0.17954654744861032,0.0015646473145123133,0.04674383852105536,-0.24601194157813383,1.3484792412375918e-4,0.0059126450646370815,-0.2305672761951437,0.006143351973246899,0.07663023250839553,-0.20088414539617738,0.006322957963951355,0.08541958306017303,-0.3273098514957607,4.301978391468436e-4,0.030587066363340576,182,172,179,183,176
